computer_science,<https://cso.kmi.open.ac.uk/topics/computer_science>
artificial_intelligence,<https://cso.kmi.open.ac.uk/topics/artificial_intelligence>
automated_pattern_recognition,<https://cso.kmi.open.ac.uk/topics/automated_pattern_recognition>
subtraction_technique,<https://cso.kmi.open.ac.uk/topics/subtraction_technique>
image_subtraction,<https://cso.kmi.open.ac.uk/topics/image_subtraction>
nonrigid_registration,<https://cso.kmi.open.ac.uk/topics/nonrigid_registration>
nonrigid_image_registration,<https://cso.kmi.open.ac.uk/topics/nonrigid_image_registration>
rigid_registration,<https://cso.kmi.open.ac.uk/topics/rigid_registration>
non-rigid_registration,<https://cso.kmi.open.ac.uk/topics/non-rigid_registration>
"numerical_analysis,_computer-assisted",<https://cso.kmi.open.ac.uk/topics/numerical_analysis%2C_computer-assisted>
manifold_learning,<https://cso.kmi.open.ac.uk/topics/manifold_learning>
manifold_learning_algorithm,<https://cso.kmi.open.ac.uk/topics/manifold_learning_algorithm>
nonlinear_dimensionality_reduction,<https://cso.kmi.open.ac.uk/topics/nonlinear_dimensionality_reduction>
laplacian_eigenmaps,<https://cso.kmi.open.ac.uk/topics/laplacian_eigenmaps>
isomap,<https://cso.kmi.open.ac.uk/topics/isomap>
locally_linear_embedding,<https://cso.kmi.open.ac.uk/topics/locally_linear_embedding>
low-dimensional_manifolds,<https://cso.kmi.open.ac.uk/topics/low-dimensional_manifolds>
low-dimensional_spaces,<https://cso.kmi.open.ac.uk/topics/low-dimensional_spaces>
local_geometry,<https://cso.kmi.open.ac.uk/topics/local_geometry>
data_manifolds,<https://cso.kmi.open.ac.uk/topics/data_manifolds>
nonlinear_manifolds,<https://cso.kmi.open.ac.uk/topics/nonlinear_manifolds>
intrinsic_dimensions,<https://cso.kmi.open.ac.uk/topics/intrinsic_dimensions>
neighborhood_graphs,<https://cso.kmi.open.ac.uk/topics/neighborhood_graphs>
class_information,<https://cso.kmi.open.ac.uk/topics/class_information>
subspace_learning,<https://cso.kmi.open.ac.uk/topics/subspace_learning>
dimensionality_reduction_algorithms,<https://cso.kmi.open.ac.uk/topics/dimensionality_reduction_algorithms>
locality_preserving_projections,<https://cso.kmi.open.ac.uk/topics/locality_preserving_projections>
locality_preserving_projection,<https://cso.kmi.open.ac.uk/topics/locality_preserving_projection>
gait_recognition,<https://cso.kmi.open.ac.uk/topics/gait_recognition>
gait_features,<https://cso.kmi.open.ac.uk/topics/gait_features>
gait_cycles,<https://cso.kmi.open.ac.uk/topics/gait_cycles>
silhouette_images,<https://cso.kmi.open.ac.uk/topics/silhouette_images>
dimensionality_reduction,<https://cso.kmi.open.ac.uk/topics/dimensionality_reduction>
dimensionality_reduction_method,<https://cso.kmi.open.ac.uk/topics/dimensionality_reduction_method>
